interaction_id,user_id,product_id,event_type,rating,timestamp
1,A1PLZRS9YGDOSU,B0030CHI14,purchase,5.0,2011-10-23
2,AVCSVBOZJBC4L,B00CA66YGQ,add_to_cart,4.0,2014-02-26
3,A14RFF9JUIM34U,B000V7AF8E,add_to_cart,4.0,2013-04-26
4,A2F9SYJEBT2YBV,B001AHTEEU,purchase,5.0,2013-08-11
5,A13DAQHQXMBVKA,B003WTNGW0,add_to_cart,4.0,2012-07-11
6,A1R9Q8HCIKPU0Z,B006TI42QU,view,1.0,2012-07-03
7,A23R0TL8NBNAQ1,B003WV5DJC,add_to_cart,4.0,2012-12-27
8,A1LE7XNZITKCXS,B0002Z2416,purchase,5.0,2007-10-29
9,A373ELTQMXXAJG,B0007UQ6LK,purchase,5.0,2006-08-18
10,A2UIMG5FFJMI83,B00ALK3HF4,purchase,5.0,2013-04-11
11,A3GOVWMQ10MI75,B0017U0WM8,wishlist,3.0,2010-09-01
12,A3Q8VXAXICW7YJ,B0045IIZKU,view,1.0,2012-09-15
13,A342XAA3YXGKT9,B009RPDP2Y,purchase,5.0,2014-04-03
14,A3Q2O5L4XO5GMA,B001V9LPT4,purchase,5.0,2013-06-29
15,AG4QZJ5BPAH0M,B002FECHQ4,purchase,5.0,2010-11-13
16,A11OHWZJHGGJU,B0000AJI8M,wishlist,3.0,2012-01-22
17,A1SRBGHX2NL436,B002I3OZB2,purchase,5.0,2012-10-05
18,A1JYMHFO4ZENMW,B001CBUSIU,purchase,5.0,2010-08-19
19,A29ARABMSNY5TC,B000UD3NTC,purchase,5.0,2014-01-11
20,A2AZIWQIATMXKB,B000UHDRAS,view,1.0,2010-12-24
21,ALQDM2CEL5ENT,B0001OQTLY,purchase,5.0,2010-02-06
22,A1CHXD61YGTAY8,B00DGZ42SM,add_to_cart,4.0,2014-04-06
23,A1Q6RBBZD8C9R6,B001MS79YE,add_to_cart,4.0,2012-11-29
24,A3IW9GFUKLD1TR,B009OZUPUC,purchase,5.0,2013-09-26
25,A34U2J77JJ6BA2,B009YPYORM,wishlist,3.0,2014-04-03
26,ALTXPSTPFG71C,B0033PROP8,wishlist,3.0,2012-04-26
27,A2KGLUIOEXBKPK,B002HZW6WQ,purchase,5.0,2012-11-04
28,AL4L9RE6FDDZ7,B000FSAADE,wishlist,3.0,2007-12-08
29,A2P1VSSN3A92AV,B000EOMXM0,purchase,5.0,2014-01-21
30,A1PBRDRW4WUCYM,B00408K36Y,purchase,5.0,2012-06-30
31,AUZZOK4YV9AEP,B00FU829ZQ,purchase,5.0,2014-06-25
32,A31EORKPUGXJG7,B002MYQTEI,purchase,5.0,2014-02-05
33,A1HGGPFOID71JZ,B000AQOD2U,add_to_cart,4.0,2013-03-06
34,A26123MBBZ5TLX,B001FYBT4G,purchase,5.0,2010-02-02
35,A358NON5RG3X86,B003AOTEJ6,purchase,5.0,2011-12-07
36,A1BICF8M7PC5GY,B008LR26DI,purchase,5.0,2012-12-19
37,A2LJ3ALM8VM7EV,B000VIHFZ4,purchase,5.0,2009-10-11
38,A3W41UE9IRP39O,B0087NBBD2,purchase,5.0,2014-06-30
39,A3F3G2PTM59Y3C,B002K3Y2MM,view,1.0,2011-04-28
40,A1TXCUJDHIXTT0,B002Y32Z2C,add_to_cart,4.0,2013-06-17
41,A2J29VKKOC4AFH,B000UC7P0G,purchase,5.0,2009-03-11
42,A12VS3OQQTY1WN,B004CZINEY,view,1.0,2013-06-04
43,A20BLB9PGZMC2F,B004N625B4,view,1.0,2012-10-30
44,A3F52JB52G4S4H,B000HCRVSK,add_to_cart,4.0,2010-06-23
45,AM4R4854BG5Z2,B001P8XVK2,purchase,5.0,2014-07-07
46,A2Q7OJTVPIO2XH,B003JME5OI,add_to_cart,4.0,2013-09-15
47,A1Q5P10DY07GH9,B006T9B6R2,add_to_cart,4.0,2012-10-19
48,ANP5ZZGG9U7KZ,B006VCP72W,add_to_cart,4.0,2012-11-14
49,A2HI1CVXG6GJNZ,B0042AM7JQ,purchase,5.0,2011-04-03
50,A21USOMU7JQGS8,B004XZHY34,purchase,5.0,2014-01-02
51,A2D9QDLI6GC8JS,B006NNWZSI,add_to_cart,4.0,2014-02-25
52,A1T6UTZ6KIPQW6,B002C97096,purchase,5.0,2010-02-25
53,A316XO4RWX21YN,B002I3OZ6W,add_to_cart,4.0,2009-09-29
54,A31XL8GCTGPBM9,B001O92JFK,add_to_cart,4.0,2013-08-20
55,A19CG4KZ2M1P7G,B000ELOQS2,purchase,5.0,2007-08-18
56,AF13CW3GWQ941,B0093IZOV0,purchase,5.0,2013-04-04
57,A24QILJ72GKFU3,B003WLY24O,purchase,5.0,2014-02-19
58,A1EOMNQMY7NJKJ,B00B1JC764,wishlist,3.0,2013-12-09
59,A2VIUMBCS84C6V,B003Y6UNI6,view,2.0,2013-09-23
60,A3HHZT1FAALB5P,B004SBBD8U,purchase,5.0,2012-02-21
61,AZKDLBTHU2BVZ,B003ZBZ64Q,add_to_cart,4.0,2013-12-04
62,A1W5XQBT7ASWGL,B0053YLTBC,purchase,5.0,2013-07-31
63,AEPH63H17I4QU,B0048BPI7C,purchase,5.0,2011-05-25
64,A3QVDM5QK8G6Z7,B007O5ATC8,add_to_cart,4.0,2013-01-28
65,ARZV4QKG5AJ9,B003Y5T464,view,1.0,2013-02-08
66,AIYUVH5JDWCO7,B00794RDVY,purchase,5.0,2012-10-29
67,A29FO5HWPH9PKX,B000GABCY2,wishlist,3.0,2009-03-17
68,A8TIL945EHW1U,B003ID3RRE,view,1.0,2012-06-03
69,A2XSZ6B503WZUV,B000QJ3DZE,purchase,5.0,2007-10-04
70,A364RZFVNA0PQW,B00AN2W0VM,wishlist,3.0,2013-03-03
71,A74L0RCV1BI18,B00FTV114Y,purchase,5.0,2014-03-26
72,A3LUMBQ1Y4HEO5,B001HLA3MG,purchase,5.0,2013-03-07
73,A24HWYHR28JJ7A,B002MCZ2L6,add_to_cart,4.0,2010-07-14
74,A1JSF7PF5F6BEM,B000GHNM02,purchase,5.0,2006-11-22
75,ADK6KJS8S8F3E,B002URXRI8,purchase,5.0,2013-02-08
76,A36MMIZ5CSC4FZ,B00ENL0CH8,add_to_cart,4.0,2014-02-19
77,A1ZPZ2MCJJC93I,B004H2VUUQ,purchase,5.0,2012-12-15
78,AXKSQKP91ZOXJ,B007IVCCIC,purchase,5.0,2013-03-28
79,A22JBRJX6QX2TC,B00KAXMQFE,wishlist,3.0,2014-07-13
80,A1IN2U87J0ANJ0,B000L484VW,purchase,5.0,2014-05-29
81,A2Y3TB6MSBZCK9,B002WN1GOW,purchase,5.0,2014-01-09
82,A3CVHBHDM4U5B9,B003ETHNA4,add_to_cart,4.0,2010-06-17
83,AX2Y2DY3CMC6Q,B00829THK0,view,2.0,2014-05-29
84,A3VE68V26S7DOO,B0030UY5NA,purchase,5.0,2014-03-07
85,A3748BY97L7456,B00FDXMQF6,add_to_cart,4.0,2014-03-03
86,A3GPFKRWJAI702,B000BKJZ9Q,purchase,5.0,2008-03-07
87,A3PRB86WH1UP8S,B00FQFHZAC,view,2.0,2014-05-09
88,A3LIB98G8IBL02,B005G89KI4,purchase,5.0,2013-06-02
89,A22OSSNDRTJSG1,B003VAGXWK,purchase,5.0,2013-06-13
90,A6KOJOHMZGTR,B0072ZXB8O,purchase,5.0,2014-01-09
91,AU7GEZ1LZQHC6,B0063E3ZPO,wishlist,3.0,2013-03-17
92,AFFFKYHS1HICH,B001A5V1K2,add_to_cart,4.0,2013-09-04
93,ALDY21ESDM5TI,B00G5RXM16,purchase,5.0,2014-06-03
94,A3VE4IP1U4QBWO,B0075SUK14,add_to_cart,4.0,2013-04-12
95,AYZKA8JWOXRJN,B000B75RDW,purchase,5.0,2013-03-30
96,ADQAIJB76TNWW,B00DVT373E,purchase,5.0,2014-03-07
97,ADPKRJ2BSFJ0I,B006K551WQ,purchase,5.0,2012-06-05
98,A3N6UQQU9B66BH,B00ARAHA5G,view,1.0,2013-06-29
99,A3M0NK5L2YLMCQ,B004HR0M4Q,add_to_cart,4.0,2012-02-15
100,A362MPVY1QULU,B00829THK0,purchase,5.0,2013-09-29
101,A31D81XA965KVP,B003FWHZ4Y,purchase,5.0,2011-01-02
102,A21ILMJT9DDCZX,B008D4X97Q,add_to_cart,4.0,2014-02-24
103,A2U2M4SBLIMS42,B0002ZAIMI,purchase,5.0,2005-10-07
104,A1K9HHL6IUMQKQ,B000SAB34O,view,2.0,2011-12-28
105,AFZX59YOP5EQ0,B000SJQB24,purchase,5.0,2009-12-28
106,A13H371UBH47UF,B005J4C820,purchase,5.0,2014-03-21
107,A3LLE02CO1W5T1,B0076R7FWQ,purchase,5.0,2012-12-07
108,A1BI324XLJYX2B,B00AAKLWGG,purchase,5.0,2014-01-21
109,A380XZXDJJHIJ5,B004TEOMH0,purchase,5.0,2013-01-24
110,A22XZ56KGJP9MG,B0038W0IZO,add_to_cart,4.0,2011-03-02
111,A171O66CQRNBL4,B006K553ZQ,purchase,5.0,2013-11-27
112,AGJP7N8ZXPTJ6,B00104XCWS,purchase,5.0,2008-08-28
113,A1YWSQ61LAWRAE,B000VWOKRG,view,2.0,2009-05-28
114,ACJXD0D2U9FNA,B004YLCIC4,wishlist,3.0,2014-03-12
115,AJGZH8VFWTTIJ,B000OG6I6A,purchase,5.0,2012-04-05
116,A32WT1ZEE4QGZB,B00CMJZAOI,purchase,5.0,2013-09-30
117,A2X0FMTLTKNDSJ,B007T8QRNU,purchase,5.0,2013-12-05
118,A3HOUGW0CGNC8S,B003GDFJUO,purchase,5.0,2011-06-30
119,AOWXKCDLZJNCE,B003CH1SL8,view,1.0,2014-01-25
120,A1JDAQSDBV8U79,B004166T5E,add_to_cart,4.0,2012-04-05
121,A17MCYSGTAPAD6,B0021IAJGO,add_to_cart,4.0,2009-06-06
122,A2QIQKMUUFNU7L,B004GF1PC2,purchase,5.0,2012-02-02
123,A1QOI9IVC1UHT5,B00GZQWI6C,add_to_cart,4.0,2014-04-04
124,A36L6CCJ3H27AQ,B004LTEUDO,purchase,5.0,2012-10-03
125,A1KDBY2WOB7S3Y,B001IB0X8Y,add_to_cart,4.0,2014-03-08
126,A3SXTYJOP2OLO5,B004QK7HI8,purchase,5.0,2013-09-22
127,A2ICY2Y1JNCXAM,B008HKJBMI,view,1.0,2013-01-11
128,A2BL42F4JBRUJ,B000AL7A0C,view,2.0,2012-09-17
129,A1GQDXQ8CJUD7D,B0024G489W,purchase,5.0,2009-11-30
130,A3P9PDNMPOZ6ZV,B00966IW72,add_to_cart,4.0,2014-02-03
131,A3M9ASEEDBTJ7V,B005GGTTZ0,wishlist,3.0,2012-11-17
132,A1XMZP4IWX82EW,B004M8SWBU,purchase,5.0,2011-12-07
133,A2O52L51AJ89QT,B0021L9BZQ,purchase,5.0,2010-08-06
