user_id,preferred_category,secondary_category,age_group,loyalty_tier
A1PLZRS9YGDOSU,Wearables,Electronics,25-34,Silver
AVCSVBOZJBC4L,Computers,Camera,55+,Platinum
A14RFF9JUIM34U,Computers,Computers,45-54,Gold
A2F9SYJEBT2YBV,Wearables,Mobile,18-24,Gold
A13DAQHQXMBVKA,Gaming,Camera,55+,Platinum
A1R9Q8HCIKPU0Z,Networking,Wearables,35-44,Platinum
A23R0TL8NBNAQ1,Audio,Mobile,45-54,Bronze
A1LE7XNZITKCXS,Audio,Wearables,45-54,Gold
A373ELTQMXXAJG,Gaming,Networking,55+,Bronze
A2UIMG5FFJMI83,Wearables,Audio,45-54,Bronze
A3GOVWMQ10MI75,Wearables,Wearables,18-24,Silver
A3Q8VXAXICW7YJ,Mobile,Electronics,55+,Gold
A342XAA3YXGKT9,Electronics,Electronics,18-24,Platinum
A3Q2O5L4XO5GMA,Electronics,Gaming,55+,Platinum
AG4QZJ5BPAH0M,Electronics,Camera,18-24,Bronze
A11OHWZJHGGJU,Audio,Electronics,25-34,Platinum
A1SRBGHX2NL436,Networking,Electronics,35-44,Platinum
A1JYMHFO4ZENMW,Networking,Mobile,45-54,Silver
A29ARABMSNY5TC,Gaming,Networking,18-24,Gold
A2AZIWQIATMXKB,Camera,Electronics,25-34,Platinum
ALQDM2CEL5ENT,Audio,Wearables,18-24,Platinum
A1CHXD61YGTAY8,Computers,Networking,35-44,Platinum
A1Q6RBBZD8C9R6,Electronics,Audio,25-34,Gold
A3IW9GFUKLD1TR,Gaming,Gaming,25-34,Gold
A34U2J77JJ6BA2,Audio,Computers,55+,Platinum
ALTXPSTPFG71C,Electronics,Gaming,25-34,Bronze
A2KGLUIOEXBKPK,Camera,Camera,55+,Silver
AL4L9RE6FDDZ7,Camera,Electronics,35-44,Bronze
A2P1VSSN3A92AV,Audio,Camera,25-34,Silver
A1PBRDRW4WUCYM,Gaming,Mobile,25-34,Silver
AUZZOK4YV9AEP,Electronics,Wearables,55+,Gold
A31EORKPUGXJG7,Electronics,Camera,45-54,Platinum
A1HGGPFOID71JZ,Gaming,Audio,35-44,Bronze
A26123MBBZ5TLX,Gaming,Computers,55+,Silver
A358NON5RG3X86,Mobile,Wearables,25-34,Gold
A1BICF8M7PC5GY,Networking,Networking,25-34,Platinum
A2LJ3ALM8VM7EV,Wearables,Wearables,55+,Gold
A3W41UE9IRP39O,Networking,Electronics,35-44,Platinum
A3F3G2PTM59Y3C,Computers,Audio,25-34,Platinum
A1TXCUJDHIXTT0,Wearables,Electronics,45-54,Bronze
A2J29VKKOC4AFH,Wearables,Electronics,18-24,Platinum
A12VS3OQQTY1WN,Computers,Electronics,35-44,Gold
A20BLB9PGZMC2F,Electronics,Audio,18-24,Bronze
A3F52JB52G4S4H,Gaming,Wearables,35-44,Silver
AM4R4854BG5Z2,Mobile,Networking,55+,Platinum
A2Q7OJTVPIO2XH,Electronics,Networking,35-44,Gold
A1Q5P10DY07GH9,Gaming,Audio,18-24,Bronze
ANP5ZZGG9U7KZ,Electronics,Wearables,45-54,Silver
A2HI1CVXG6GJNZ,Networking,Electronics,18-24,Silver
A21USOMU7JQGS8,Networking,Computers,55+,Gold
A2D9QDLI6GC8JS,Networking,Electronics,45-54,Silver
A1T6UTZ6KIPQW6,Networking,Wearables,18-24,Bronze
A316XO4RWX21YN,Gaming,Gaming,18-24,Gold
A31XL8GCTGPBM9,Networking,Networking,18-24,Platinum
A19CG4KZ2M1P7G,Electronics,Networking,25-34,Bronze
AF13CW3GWQ941,Computers,Networking,18-24,Gold
A24QILJ72GKFU3,Computers,Computers,55+,Silver
A1EOMNQMY7NJKJ,Networking,Electronics,55+,Platinum
A2VIUMBCS84C6V,Audio,Networking,35-44,Silver
A3HHZT1FAALB5P,Wearables,Camera,35-44,Bronze
AZKDLBTHU2BVZ,Camera,Electronics,18-24,Bronze
A1W5XQBT7ASWGL,Networking,Electronics,18-24,Silver
AEPH63H17I4QU,Electronics,Camera,45-54,Gold
A3QVDM5QK8G6Z7,Mobile,Networking,55+,Gold
ARZV4QKG5AJ9,Camera,Audio,45-54,Silver
AIYUVH5JDWCO7,Networking,Gaming,35-44,Gold
A29FO5HWPH9PKX,Audio,Mobile,55+,Platinum
A8TIL945EHW1U,Camera,Mobile,55+,Silver
A2XSZ6B503WZUV,Audio,Networking,25-34,Platinum
A364RZFVNA0PQW,Networking,Mobile,45-54,Platinum
A74L0RCV1BI18,Electronics,Gaming,18-24,Platinum
A3LUMBQ1Y4HEO5,Wearables,Audio,18-24,Gold
A24HWYHR28JJ7A,Audio,Computers,25-34,Silver
A1JSF7PF5F6BEM,Wearables,Electronics,25-34,Bronze
ADK6KJS8S8F3E,Networking,Mobile,45-54,Bronze
A36MMIZ5CSC4FZ,Gaming,Camera,45-54,Gold
A1ZPZ2MCJJC93I,Audio,Mobile,25-34,Silver
AXKSQKP91ZOXJ,Electronics,Wearables,45-54,Silver
A22JBRJX6QX2TC,Networking,Camera,18-24,Gold
A1IN2U87J0ANJ0,Audio,Wearables,55+,Platinum
A2Y3TB6MSBZCK9,Networking,Wearables,18-24,Bronze
A3CVHBHDM4U5B9,Audio,Networking,45-54,Silver
AX2Y2DY3CMC6Q,Mobile,Mobile,18-24,Platinum
A3VE68V26S7DOO,Audio,Audio,25-34,Silver
A3748BY97L7456,Computers,Electronics,35-44,Bronze
A3GPFKRWJAI702,Mobile,Wearables,45-54,Bronze
A3PRB86WH1UP8S,Networking,Camera,25-34,Gold
A3LIB98G8IBL02,Wearables,Audio,25-34,Platinum
A22OSSNDRTJSG1,Computers,Gaming,55+,Gold
A6KOJOHMZGTR,Networking,Camera,45-54,Bronze
AU7GEZ1LZQHC6,Wearables,Audio,18-24,Bronze
AFFFKYHS1HICH,Electronics,Audio,18-24,Bronze
ALDY21ESDM5TI,Audio,Mobile,55+,Bronze
A3VE4IP1U4QBWO,Mobile,Computers,35-44,Bronze
AYZKA8JWOXRJN,Audio,Mobile,55+,Platinum
ADQAIJB76TNWW,Networking,Electronics,45-54,Silver
ADPKRJ2BSFJ0I,Networking,Gaming,45-54,Bronze
A3N6UQQU9B66BH,Wearables,Electronics,45-54,Platinum
A3M0NK5L2YLMCQ,Wearables,Networking,55+,Silver
A362MPVY1QULU,Computers,Audio,25-34,Bronze
A31D81XA965KVP,Gaming,Wearables,25-34,Silver
A21ILMJT9DDCZX,Gaming,Computers,25-34,Bronze
A2U2M4SBLIMS42,Wearables,Wearables,18-24,Platinum
A1K9HHL6IUMQKQ,Wearables,Gaming,25-34,Silver
AFZX59YOP5EQ0,Audio,Gaming,25-34,Bronze
A13H371UBH47UF,Computers,Mobile,45-54,Silver
A3LLE02CO1W5T1,Camera,Wearables,55+,Silver
A1BI324XLJYX2B,Computers,Gaming,35-44,Platinum
A380XZXDJJHIJ5,Electronics,Computers,45-54,Gold
A22XZ56KGJP9MG,Networking,Computers,18-24,Gold
A171O66CQRNBL4,Computers,Mobile,55+,Gold
AGJP7N8ZXPTJ6,Gaming,Computers,55+,Gold
A1YWSQ61LAWRAE,Wearables,Audio,35-44,Platinum
ACJXD0D2U9FNA,Networking,Wearables,55+,Silver
AJGZH8VFWTTIJ,Camera,Networking,18-24,Silver
A32WT1ZEE4QGZB,Mobile,Electronics,35-44,Silver
A2X0FMTLTKNDSJ,Audio,Wearables,55+,Bronze
A3HOUGW0CGNC8S,Wearables,Electronics,35-44,Bronze
AOWXKCDLZJNCE,Wearables,Electronics,45-54,Gold
A1JDAQSDBV8U79,Networking,Gaming,25-34,Platinum
A17MCYSGTAPAD6,Networking,Gaming,55+,Silver
A2QIQKMUUFNU7L,Mobile,Gaming,45-54,Platinum
A1QOI9IVC1UHT5,Audio,Gaming,35-44,Bronze
A36L6CCJ3H27AQ,Computers,Computers,25-34,Platinum
A1KDBY2WOB7S3Y,Computers,Electronics,18-24,Platinum
A3SXTYJOP2OLO5,Audio,Networking,55+,Platinum
A2ICY2Y1JNCXAM,Networking,Camera,55+,Gold
A2BL42F4JBRUJ,Gaming,Camera,45-54,Gold
A1GQDXQ8CJUD7D,Gaming,Camera,18-24,Bronze
A3P9PDNMPOZ6ZV,Gaming,Networking,55+,Bronze
A3M9ASEEDBTJ7V,Camera,Mobile,25-34,Gold
A1XMZP4IWX82EW,Networking,Electronics,55+,Bronze
A2O52L51AJ89QT,Computers,Wearables,18-24,Silver
A1JCX0Y2CCM4DH,Networking,Mobile,25-34,Bronze
A3HJEUFFZ0CMSG,Wearables,Camera,55+,Bronze
A2YM3KILJ1G0YJ,Electronics,Audio,35-44,Bronze
A3JGH29K3TWWLB,Networking,Audio,45-54,Platinum
AUXF6GDRQKKZQ,Audio,Audio,25-34,Silver
AL8I4PDQOHABI,Electronics,Electronics,18-24,Silver
A1FQRK4IDV9XKN,Networking,Networking,35-44,Bronze
